regime,value,quality,investment,momentum,months,cagr,vol,sharpe,mdd,ok
0,0,0,0,1,,,,,,False
0,0,0,1,0,,,,,,False
0,0,0,1,1,100.0,0.2551,0.3159,0.88,-0.5084000000000001,True
0,0,1,0,0,,,,,,False
0,0,1,0,1,100.0,0.2009,0.2866,0.79,-0.5136,True
0,0,1,1,0,100.0,0.1971,0.2797,0.79,-0.4461,True
0,0,1,1,1,100.0,0.1887,0.2982,0.73,-0.4974,True
0,1,0,0,0,,,,,,False
0,1,0,0,1,,,,,,False
0,1,0,1,0,,,,,,False
0,1,0,1,1,100.0,0.25579999999999997,0.3164,0.88,-0.5089,True
0,1,1,0,0,,,,,,False
0,1,1,0,1,100.0,0.2004,0.287,0.79,-0.5147999999999999,True
0,1,1,1,0,100.0,0.1962,0.2798,0.78,-0.4472,True
0,1,1,1,1,100.0,0.1884,0.2982,0.73,-0.498,True
1,0,0,0,1,36.0,0.0,0.0,,0.0,True
1,0,0,1,0,36.0,0.0,0.0,,0.0,True
1,0,0,1,1,100.0,0.3848,0.2357,1.51,-0.1686,True
1,0,1,0,0,36.0,0.0,0.0,,0.0,True
1,0,1,0,1,100.0,0.3342,0.1946,1.59,-0.1606,True
1,0,1,1,0,100.0,0.28309999999999996,0.1834,1.46,-0.0953,True
1,0,1,1,1,100.0,0.32170000000000004,0.2086,1.45,-0.1748,True
1,1,0,0,0,36.0,0.0,0.0,,0.0,True
1,1,0,0,1,36.0,0.0,0.0,,0.0,True
1,1,0,1,0,36.0,0.0,0.0,,0.0,True
1,1,0,1,1,100.0,0.38549999999999995,0.23620000000000002,1.51,-0.1675,True
1,1,1,0,0,36.0,0.0,0.0,,0.0,True
1,1,1,0,1,100.0,0.33390000000000003,0.1949,1.59,-0.1609,True
1,1,1,1,0,100.0,0.2824,0.1834,1.46,-0.099,True
1,1,1,1,1,100.0,0.32159999999999994,0.20850000000000002,1.45,-0.17420000000000002,True
