portfolio,model,n_months,alpha_m,alpha_ann,t_alpha,sig,p_alpha,r2,b_MKT_RF,b_SMB,b_HML,b_RMW,b_CMA,b_MOM
SECTOR:Personal & Household Goods,FF5,94,-0.003705,-0.0436,-1.62,,0.1094,0.8124,1.0855,-0.0011,-0.0,0.3974,0.4494,
SECTOR:Personal & Household Goods,FF6,94,-0.004627,-0.0541,-1.84,*,0.0692,0.8141,1.0853,-0.0008,0.0004,0.3908,0.4578,-0.0422
SECTOR:Real Estate,FF3,94,-0.009502,-0.1082,-3.31,***,0.0013,0.883,1.6003,0.0101,0.0174,,,
SECTOR:Real Estate,FF5,94,-0.007782,-0.0895,-2.53,**,0.0132,0.8887,1.4542,0.0173,0.0159,-0.2327,-0.4372,
SECTOR:Real Estate,FF6,94,-0.012267,-0.1377,-3.85,***,0.0002,0.902,1.4531,0.0188,0.0179,-0.2652,-0.396,-0.2052
SECTOR:Retail,FF3,94,-0.002595,-0.0307,-0.93,,0.3538,0.7429,0.9595,-0.0084,-0.0154,,,
SECTOR:Retail,FF5,94,-0.003816,-0.0448,-1.26,,0.2099,0.7491,1.0125,-0.0021,-0.0177,0.1251,-0.0322,
SECTOR:Retail,FF6,94,-0.004017,-0.0471,-1.21,,0.2311,0.7492,1.0125,-0.0021,-0.0176,0.1236,-0.0304,-0.0092
SECTOR:Technology,FF3,94,0.003009,0.0367,0.74,,0.459,0.5406,0.9002,0.041,0.0075,,,
SECTOR:Technology,FF5,94,0.003892,0.0477,0.88,,0.3827,0.542,0.8407,0.0412,0.0078,-0.1072,-0.1192,
SECTOR:Technology,FF6,94,0.00245,0.0298,0.5,,0.6167,0.5447,0.8404,0.0416,0.0084,-0.1177,-0.106,-0.066
SECTOR:Telecommunications,FF3,94,0.003131,0.0382,0.36,,0.7222,0.3326,1.2714,0.0448,0.003,,,
SECTOR:Telecommunications,FF5,94,0.002395,0.0291,0.25,,0.804,0.3356,1.3624,0.0353,0.0055,0.1221,0.3794,
SECTOR:Telecommunications,FF6,94,0.003745,0.0459,0.35,,0.7248,0.3363,1.3628,0.0349,0.0049,0.1319,0.367,0.0618
SECTOR:Travel & Leisure,FF3,94,0.004569,0.0562,1.07,,0.2892,0.3495,0.5679,-0.0695,0.0099,,,
SECTOR:Travel & Leisure,FF5,94,0.003816,0.0468,0.85,,0.3959,0.4126,0.7202,-0.0926,0.0163,0.1717,0.7882,
SECTOR:Travel & Leisure,FF6,94,0.005926,0.0735,1.21,,0.2299,0.42,0.7207,-0.0933,0.0154,0.187,0.7688,0.0965
SECTOR:Utilities,FF3,94,0.008762,0.1104,5.46,***,0.0,0.6801,0.4596,-0.0153,0.0142,,,
SECTOR:Utilities,FF5,94,0.007843,0.0983,4.52,***,0.0,0.6899,0.5052,-0.0118,0.0128,0.0986,0.0138,
SECTOR:Utilities,FF6,94,0.007924,0.0993,4.14,***,0.0001,0.6899,0.5052,-0.0119,0.0128,0.0992,0.013,0.0037
FACTOR_STRATEGY(Q+MOM+Regime),FF3,58,0.004621,0.0569,0.74,,0.4597,0.6893,1.4005,0.0038,0.0527,,,
FACTOR_STRATEGY(Q+MOM+Regime),FF5,58,-0.011688,-0.1316,-1.88,*,0.0656,0.7937,1.9104,0.0409,0.016,0.6371,-0.4426,
FACTOR_STRATEGY(Q+MOM+Regime),FF6,58,-0.010866,-0.1229,-1.46,,0.1512,0.7938,1.9004,0.04,0.0164,0.642,-0.4272,0.029
