date,ret,n,universe,turnover,regime,rebal,gross,top5
2018-07-31,0.0,0,0,0.0,OFF,False,,
2018-08-31,0.0,0,0,0.0,OFF,False,,
2018-09-30,0.0,0,0,0.0,OFF,False,,
2018-10-31,0.0,0,0,0.0,OFF,False,,
2018-11-30,0.0,0,0,0.0,OFF,False,,
2018-12-31,0.0,0,0,0.0,OFF,False,,
2019-01-31,0.0,0,0,0.0,OFF,False,,
2019-02-28,0.08314835781237633,6,6,1.0,ON,True,0.08614835781237633,"HPG, VJC, PLX, VNM, MSN"
2019-03-31,-0.016321690097875225,6,0,0.0,ON,False,-0.016321690097875225,"HPG, VJC, PLX, VNM, MSN"
2019-04-30,0.0,0,0,0.0,ON,True,,
2019-05-31,0.0,0,0,0.0,ON,True,,
2019-06-30,0.0,0,0,0.0,ON,True,,
2019-07-31,0.0,0,0,0.0,ON,True,,
2019-08-31,0.0,0,0,0.0,ON,True,,
2019-09-30,0.0,0,0,0.0,ON,True,,
2019-10-31,0.0,0,0,0.0,ON,True,,
2019-11-30,0.0,0,0,0.0,OFF,False,,
2019-12-31,0.0,0,0,0.0,OFF,False,,
2020-01-31,0.0,0,0,0.0,OFF,False,,
2020-02-29,0.0,0,0,0.0,OFF,False,,
2020-03-31,0.0,0,0,0.0,OFF,False,,
2020-04-30,0.0,0,0,0.0,OFF,False,,
2020-05-31,0.0,0,0,0.0,OFF,False,,
2020-06-30,0.0,0,0,0.0,OFF,False,,
2020-07-31,0.0,0,0,0.0,OFF,False,,
2020-08-31,0.0,0,0,0.0,ON,True,,
2020-09-30,0.0,0,0,0.0,ON,True,,
2020-10-31,-0.04938951444929755,8,8,1.0,ON,True,-0.04638951444929755,"HPG, VNM, POW, FPT, PVS"
2020-11-30,0.12119969114097534,8,0,0.0,ON,False,0.12119969114097534,"HPG, VNM, POW, FPT, PVS"
2020-12-31,0.19837943756112275,9,9,0.667,ON,True,0.20037943756112275,"HPG, VNM, PVS, HSG, SBT"
2021-01-31,-0.04432705215225942,9,0,0.0,ON,False,-0.04432705215225942,"HPG, VNM, PVS, HSG, SBT"
2021-02-28,0.18387731223035142,9,0,0.0,ON,False,0.18387731223035142,"HPG, VNM, PVS, HSG, SBT"
2021-03-31,0.03147659851856635,15,19,0.933,ON,True,0.03427659851856635,"VNM, HPG, DCM, GVR, LCG"
2021-04-30,0.011537447351412386,15,15,0.667,ON,True,0.013537447351412386,"GVR, POW, VNM, FPT, PLX"
