date,RF,MKT_RF,SMB,HML,RMW,CMA,MOM
2018-01-31,0.0024662697723036864,0.017984344936385923,-0.03413621925617995,0.00268872779163621,0.03792187555014122,-0.013065192161364491,0.00564409210658226
2018-02-28,0.0024662697723036864,-0.006757206559383311,0.018262542155742252,-0.032215987038541935,0.022007796770426583,-0.006352582687689797,-0.004503303199434396
2018-03-31,0.0024662697723036864,0.02054292046747738,0.009448654483719714,-0.04969455632873087,0.030083267387051357,-0.015345750905369025,-0.003754040387799827
2018-04-30,0.0024662697723036864,-0.023568650510250377,0.029393474393076796,-0.048694906579616726,-0.014240406687336293,0.00642734418059504,-0.050556861274629085
2018-05-31,0.0024662697723036864,-0.014788324923483582,0.010934245237028156,-0.0718459050888478,0.0027133542372282365,0.0048547910209425504,-0.03211999788434357
2018-06-30,0.0024662697723036864,0.005602542074267589,0.012839918760517523,-0.025593575954336898,0.018800122274628128,0.008177153971206934,-0.06524764250386669
2018-07-31,0.0024662697723036864,-0.001170637056424982,0.01302218905847031,-0.04020135281440589,-0.01789346006511176,0.022839100143019236,-0.03467431734506607
2018-08-31,0.0024662697723036864,0.0209586849257318,-0.022231375497694682,-0.026554784862198796,0.010927407982032334,-0.027227500549395756,-0.003557488066200258
2018-09-30,0.0024662697723036864,0.033822944591925364,-0.03717192606298858,0.03455631463097339,-0.0006512404507514682,-0.012755098333509466,-0.06916607534715802
2018-10-31,0.0024662697723036864,-0.023821313579533876,0.03957356293421863,-0.09632380694499929,-0.0005030339078332703,0.01886914043443063,-0.0179934504175466
2018-11-30,0.0024662697723036864,0.011833239700547981,0.023306032771725355,-0.036484576785403455,-0.02056848621856626,0.010834701278347684,-0.009723320544508328
2018-12-31,0.0024662697723036864,0.013861286827882669,0.026359773762616497,-0.05442024019644301,0.007374384324009919,0.003595042073823985,-0.006988840281337238
2019-01-31,0.0024662697723036864,-0.0036064342006195626,0.020182978192700644,-0.04386332995688566,0.041115674647236505,-0.01849457931569002,-0.004440782630110547
2019-02-28,0.0024662697723036864,0.020638080191751996,-0.01445015480142671,0.0005322528134684701,0.012714166932676609,-0.01608876841351967,-0.027933458382931042
2019-03-31,0.0024662697723036864,0.039686339962693634,-0.04118321771275496,-0.00011806700259857361,-0.0064741273149247075,-0.004750718252683653,-0.07436511721965243
2019-04-30,0.0024662697723036864,0.016524046125473833,0.013533828454056856,-0.0217928033299813,0.038420209807331115,-0.028981002785806047,-0.014596489656914065
2019-05-31,0.0024662697723036864,0.0034583360819858116,0.013831658044615868,-0.06157554246240665,0.02900032746730939,-0.006058884768840214,0.006234880296643961
2019-06-30,0.0024662697723036864,0.010981044411726747,0.006593756271886008,-0.03973473107641401,0.007049852255243084,-0.00903792970634449,-0.025880447419897173
2019-07-31,0.0024662697723036864,0.02897539606016243,-0.0014055132141512355,-0.07168277650052116,-0.020820894868255425,0.004579087512285425,-0.06377026105389078
2019-08-31,0.0024662697723036864,0.01546176230251899,-0.013229783563690646,-0.008306212077423186,-0.007432053987137921,-0.0048963047853369905,-0.01313404711207231
2019-09-30,0.0024662697723036864,-0.008455998440905076,0.02191177482466141,-0.03286068551079675,-0.005161443972729052,-0.002772504192230427,-0.03861174947704427
2019-10-31,0.0024662697723036864,0.0033146218560456105,0.025016698842580575,-0.048553785689606666,-0.009641960317091794,0.013327584580162241,-0.014169738293822991
2019-11-30,0.0024662697723036864,-0.0035128784429257305,0.0026154139305163255,-0.016016094721698407,-0.008072955052442883,-0.0004939814232637501,-0.027504981578542725
2019-12-31,0.0024662697723036864,0.015533385981941157,0.006791987459825476,-0.0612084845194114,-0.0029493846340068464,0.011778629846720814,-0.03928382174951563
2020-01-31,0.0024662697723036864,-0.007933280027324654,0.03382276467368458,-0.03601464333829763,9.089791377132374e-05,-0.011580330556845896,-0.032889293960970845
2020-02-29,0.0024662697723036864,-0.004719928734766425,0.003036748193199292,-0.024018758221830947,0.013416656970972381,-0.010507109350947152,-0.05280705638584017
2020-03-31,0.0024662697723036864,-0.09114352281200706,0.13896744833629662,-0.1759900565402834,-0.02317281968597154,0.047913224008492405,-0.004996976703617817
2020-04-30,0.0024662697723036864,0.07871572379234719,-0.14689778818608623,0.12366556943824067,0.05178754376041999,-0.05486525306022596,-0.15877045430325076
2020-05-31,0.0024662697723036864,0.04290542457877222,-0.05880486417855561,0.0501236857429883,0.005212234988968688,-0.03544697461033168,-0.0655258705878051
2020-06-30,0.0024662697723036864,0.023022754999945935,-0.004598082151615154,-0.010952301432775133,-0.042630384822382,0.02801569234174408,-0.07312990572904
2020-07-31,0.0024662697723036864,-0.0047487012234112445,0.026095938538288663,-0.0717435430090084,0.009914845613783096,-0.012087358104361188,-0.0421205448745811
