model,n,alpha_monthly,alpha_annualized,r2,MKT_RF,SMB,HML,RMW,CMA,MOM
FF3,100,-1.8037739169314983e-05,-0.00021643139756044594,0.9999928506671832,0.9997370640157459,0.000587079802914614,7.033004088929928e-05,,,
FF5,100,-7.73548848182407e-06,-9.28219125907459e-05,0.9999931332299997,0.9989386120185988,0.00045088568845130794,3.7643030874168204e-05,-0.0012431124721608011,-0.0013393752349677088,
FF6,100,-1.0556507851628955e-05,-0.00012667073944794272,0.9999931361012472,0.9989464222922756,0.0004207318205468047,-1.0461147442186736e-05,-0.001251614605927931,-0.001358681800142085,-6.191045544723384e-05
