date,gross_ret,net_ret,n_hold,turnover,pnl_net,pnl_gross
2018-01-31,0.06344587813598708,0.06194587813598708,42,1.0,1.0619458781359872,1.063445878135987
2018-02-28,-0.011755252533540182,-0.012612395390683038,36,0.5714285714285714,1.04855219683743,1.0509448032827462
2018-03-31,0.0669965194434689,0.0662465194434689,36,0.5,1.1180151303327128,1.1213544472298913
2018-04-30,-0.0894101401582256,-0.08999347349155894,33,0.38888888888888895,1.017401065337954,1.021093988936017
2018-05-31,-0.054448254894954265,-0.055175527622226994,31,0.4848484848484848,0.9612654247545165,0.9654972031547232
2018-06-30,-0.023305929293427518,-0.02386842929342752,32,0.375,0.9383215289315467,0.9429953936049972
2018-07-31,-0.009562201947608217,-0.010312201947608218,29,0.5,0.9286453678334161,0.9339782812156818
2018-08-31,0.06257606702153372,0.061976067021533715,30,0.4,0.9861991553894968,0.9924229687376911
2018-09-30,0.03587181728917301,0.03503848395583968,36,0.5555555555555556,1.0207540786728744,1.0280229841458282
2018-10-31,-0.04641782007687406,-0.04708448674354073,34,0.4444444444444445,0.9726923967871863,0.9803043982328559
2018-11-30,0.02222422824160882,0.0212536400063147,33,0.6470588235294118,0.9933656508253808,1.0020909069254358
2018-12-31,-0.001971227437912469,-0.0027894092560942873,32,0.5454545454545454,0.9905947474842823,1.0001155578344219
2019-01-31,-0.01145207939003556,-0.01304582939003556,29,1.0625,0.977671617413937,0.9886621550668924
2019-02-28,0.059912902981134636,0.05888165298113464,32,0.6875,1.0352385383200091,1.0478957748445346
2019-03-31,0.10490916754077434,0.10372312102914644,43,0.7906976744186046,1.1426167105242122,1.1578296482529693
2019-04-30,0.006903366012889242,0.005856854384982265,40,0.6976744186046512,1.1493088502156,1.1658225700954343
2019-05-31,0.03189845884089601,0.03092345884089601,37,0.65,1.1848494551407196,1.203010513363411
2019-06-30,0.06023846870256486,0.059370047649933276,38,0.5789473684210527,1.2551940237504216,1.2754780245215092
2019-07-31,0.07498129531961628,0.0742889876273086,39,0.4615384615384615,1.3484411170506883,1.3711150189518373
2019-08-31,0.03638321333770452,0.03554600403537894,43,0.5581395348837209,1.3963728104388429,1.4210005891968926
2019-09-30,-0.021191593306257396,-0.02230787237602484,39,0.7441860465116279,1.365222703994222,1.39088732262268
2019-10-31,0.01062920685432977,0.00962920685432977,37,0.6666666666666667,1.3783687158132099,1.4056713516859012
2019-11-30,0.025146260171009537,0.02435678648679901,38,0.5263157894736843,1.4119413483243557,1.4410187292103294
2019-12-31,0.014552482149583679,0.013920903202215259,38,0.42105263157894735,1.4315968471615843,1.4619891285443785
2020-01-31,-0.06376832757537616,-0.06518938020695511,36,0.9473684210526315,1.3382719359888897,1.3687605268837217
2020-02-29,-0.011553706666082558,-0.012169091281467172,39,0.41025641025641024,1.3219863826404152,1.3529462692599945
2020-03-31,-0.2570670774882056,-0.2577987848052788,41,0.4878048780487804,0.9811798996665899,1.005148325822757
2020-04-30,0.2205390802243675,0.21969125413741097,46,0.5652173913043479,1.1967365423587621,1.2268228130887706
2020-05-31,0.09408468035363148,0.09339718035363148,48,0.4583333333333333,1.308508361041225,1.3422480453087706
2020-06-30,-0.02971606400475078,-0.030370609459296233,55,0.43636363636363634,1.268768164633818,1.3023617164841235
2020-07-31,-0.04705088184113916,-0.04895997275023007,49,1.2727272727272727,1.2066493098669868,1.2410844492474058
2020-08-31,0.17811306356503512,0.17705750800947956,54,0.7037037037037036,1.420295629713394,1.4621378026457856
2020-09-30,0.02583437614757924,0.024781744568631872,57,0.7017543859649122,1.4554930332208953,1.4999112206189318
2020-10-31,-0.03111902593994077,-0.031855868045203926,57,0.49122807017543857,1.4091270392138968,1.4532354444368831
2020-11-30,0.15094365874937052,0.15011607254247397,58,0.5517241379310345,1.6206596560540916,1.6725921194444537
2020-12-31,0.1673370314349064,0.16619618636448388,71,0.7605633802816901,1.8900071102850577,1.9524787195137072
2021-01-31,-0.003157176279069898,-0.004060790736901224,83,0.6024096385542169,1.8823321869189347,1.9463144000150698
2021-02-28,0.14469631399940638,0.14335896460181602,72,0.891566265060241,2.1521813802723053,2.2279389195812165
2021-03-31,0.07229930153952878,0.07152283095129348,85,0.5176470588235293,2.306111485310043,2.3890173473396707
2021-04-30,0.026634332623864266,0.02530478716931881,88,0.8863636363636364,2.3644671456345354,2.4526472300128974
2021-05-31,0.036223592399691446,0.0353031378542369,74,0.6136363636363636,2.4479402552286857,2.5414909235731167
2021-06-30,0.06335709095699418,0.06239280524270847,84,0.6428571428571429,2.6006741148189554,2.702512395184314
2021-07-31,0.001016309408564085,-0.00026940487715020056,73,0.8571428571428571,2.599973480528545,2.705258983958301
2021-08-31,0.16829033100990407,0.1675487579761962,89,0.4943820224719101,3.035595807962151,3.1605279138361597
2021-09-30,0.07755140810109087,0.0767589552709022,106,0.5283018867924528,3.268604970806056,3.405631303896957
2021-10-31,0.16253172195594873,0.16197616640039317,108,0.37037037037037035,3.7980410734544896,3.9591544240664125
2021-11-30,0.10476952934668202,0.10312436805635944,124,1.096774193548387,4.189711659006581,4.3739531696866845
2021-12-31,-0.004049156173669045,-0.00499270456076582,110,0.6290322580645161,4.168793666498365,4.356242350206308
2022-01-31,-0.15551062411152414,-0.1563833513842514,105,0.5818181818181819,3.5168637417019095,3.6788003835446723
