year,quarter,EPS,Revenue
2025,3,34.995143640355906,19037087025
2025,2,-772.7035926159402,16135981978
2025,1,-55.284282671707096,6661726777
2024,4,-880.5724356071174,12780674537
2024,3,-58.56941077742903,8206631421
2024,2,-1567.0771732084766,11319925495
2024,1,-120.5623320125338,6300161838
2023,4,-1216.92928254906,12077532310
2023,3,-104.95993880541464,8410335195
2023,2,-792.0007176683146,40514534891
2023,1,-132.08958363205713,30409537620
2022,4,-588.5635401362786,34504587685
2022,3,-187.26697945996855,65200789288
2022,2,-1776.159337921066,48285039884
2022,1,-272.30131825352396,33851099986
2021,4,-157.952040731333,53226307384
2021,3,-71.68240125861846,33818695494
2021,2,-68.52669382452265,43554878455
2021,1,-250.49630971841623,25484137183
2020,4,-456.27173471054385,104833197376
2020,3,409.45112333770805,104291872061
2020,2,-1254.212543294591,83356710830
2020,1,-280.2940477071275,60988724158
2019,4,-1207.3627903071701,71417426980
2019,3,-296.38275938148905,102639551703
2019,2,-1141.8046810108594,59158468139
2019,1,-226.30324132009224,21003280916
2018,4,-1156.7733940360008,44572020962
2018,3,-52.859194952443836,50636898273
2018,2,40.335659373718066,83264674242
2018,1,-213.49099321611993,87467750160
2017,4,-847.2167742537622,124292946988
2017,3,0.0,93563307096
2017,2,0.0,92356818935
2017,1,0.0,48752846665
2016,3,0.0,50696835855
2016,2,0.0,32810160039
2016,1,0.0,17290422030
