year,quarter,EPS,BVPS
2025,3,498.07606123511647,12590.8986838538
2025,2,711.665020813127,13035.5371175133
2025,1,396.12078678366777,12525.554683888
2024,4,243.57199674413772,12129.4338971043
2024,3,67.31033479369559,14262.88459964
2024,2,427.39459404278307,14195.5742648464
2024,1,636.6385941831836,14285.5182014582
2023,4,759.5651864500604,13648.879607275
2023,3,658.0772240559737,12941.2632714562
2023,2,865.4263508739683,12993.5834885324
2023,1,223.7165526508419,12312.9807443627
2022,4,217.45191033126667,12089.2641917119
2022,3,217.72308299006278,11871.3866343135
2022,2,320.8921193887014,10849.8415692607
2022,1,176.86373276938173,12684.4937351092
2021,4,1.14689654184353,12778.4329048012
2021,3,289.9336504829779,12778.222391577
2021,2,205.40013864677778,12488.288741094
2021,1,972.2057901048476,13580.0906200466
2020,4,496.1205259362275,12607.8848299417
2020,3,336.7517327787462,12095.6612830709
2020,2,676.7175726691478,11765.1774858022
2020,1,279.59405342256605,11082.0203397804
2019,4,-109.96849597907786,10802.4262863578
2019,3,278.50346339766105,11313.8227613545
2019,2,-1.620711141771118,11035.3192979569
2019,1,-84.93417309018527,11036.9400091706
2018,4,-259.6476260968974,11121.8741822608
2018,3,-225.92272583971186,11389.0040113829
2018,2,-306.51664304891017,11614.9267372226
2018,1,-215.88087824216794,11921.4433802715
2017,4,71.35939133934961,12137.3242585137
2017,3,-231.1628914613441,12207.6377562433
2017,2,-198.62976969069703,12438.8006477046
2017,1,-220.89460325084866,12643.5571987793
2016,4,-196.2333041972076,12865.7394719198
2016,3,-277.31152969123843,12979.746182228
2016,2,372.0365175655849,13257.0577119192
2016,1,97.20507037702664,12891.9787312762
2015,4,97.06450077332764,13566.0314018226
2015,3,-116.41982032650459,11342.4601541702
2015,2,-1299.1697962222222,14371.3003191111
2015,1,1382.7854514444443,17392.4978931111
2014,4,1052.497569,16009.7124416667
2014,3,19.799334,15021.8166438889
2014,2,705.9261192222223,15002.0173098889
2014,1,506.6555662222222,16744.1796351111
2013,4,2465.4773942222223,16237.5240688889
2013,3,703.4381278888889,13849.6580026667
2013,2,70.32927111111111,13146.2198747778
2013,1,935.1591085555556,13075.8906036667
