year,quarter,Revenue
2025,3,68087634425
2025,2,74952036475
2025,1,22431042364
2024,4,194269203150
2024,3,59456581289
2024,2,65603035858
2024,1,24758990992
2023,4,46717408368
2023,3,15709512854
2023,2,15777471631
2023,1,17813544261
2022,4,25128037987
2022,3,28001138859
2022,2,38729316443
2022,1,39599777181
2021,4,108478355627
2021,3,64283231301
2021,2,74057052928
2021,1,56702129726
2020,4,145842122621
2020,3,105206202147
2020,2,58386858889
2020,1,118285001869
2019,4,126996116905
2019,3,75911946569
2019,2,118867305624
2019,1,81528290025
2018,4,220683508474
2018,3,88280266280
2018,2,108048529077
2018,1,53045008589
2017,4,219892103373
2017,3,82288207375
2017,2,96285759071
2017,1,70050766911
2016,4,169149533031
2016,3,96406826624
2016,2,626881800435
2016,1,98446621260
2015,4,117559339345
2015,3,72648104319
2015,2,74712719000
2015,1,53845117244
2014,4,115317054659
2014,3,39178427917
2014,2,65705247153
2014,1,69880376207
2013,4,120761289184
2013,3,66109241225
2013,2,87239175854
2013,1,66892642854
