year,quarter,Revenue
2025,3,2214245283867
2025,2,1740489438802
2025,1,1257979278946
2024,4,1212339141445
2024,3,1269577899087
2024,2,1458230817100
2024,1,1384796607254
2023,4,1932497873169
2023,3,1759095437396
2023,2,1603642173607
2023,1,1290992113294
2022,4,1934170388332
2022,3,1366606023486
2022,2,1757249952759
2022,1,1771197389156
2021,4,2076218006004
2021,3,1626276920966
2021,2,1129418998214
2021,1,1088270909501
2020,4,738285209728
2020,3,519647323331
2020,2,412777779879
2020,1,445177454921
2019,4,412176356501
2019,3,417521820191
2019,2,393482184388
2019,1,320956806124
2018,4,341548917503
2018,3,342454437682
2018,2,406487093927
2018,1,447998397555
2017,4,354424626319
2017,3,294365191242
2017,2,313924474144
2017,1,258395190826
2016,4,164303380356
2016,3,160986767116
2016,2,232522444506
2016,1,107735635959
2015,4,157480464431
2015,3,155557219301
2015,2,115822426626
2015,1,105263267725
2014,4,121474425192
2014,3,114249513492
2014,2,94998405932
2014,1,104568245281
2013,4,72266629075
2013,3,51353460134
2013,2,72030036376
2013,1,62335142862
2011,2,74750849650
