year,quarter,EPS,Revenue
2025,3,-522.17088,3259236405
2020,4,-652.6685751851852,8574429257
2020,3,-317.88455274074073,3793617917
2020,2,-423.67174851851854,8090802357
2020,1,-653.8138135185185,16385053607
2019,4,-665.8780538518519,27140626844
2019,3,0.0,4422114709
2019,2,0.0,24053506508
2019,1,0.0,15903590874
2018,3,0.0,4786209629
2018,2,-481.6394368518518,1659389391
2018,1,0.0,11658641710
