year,quarter,EPS,Revenue
2019,4,-11220.53445256595,0
2019,3,0.0,0
2019,2,0.0,0
2019,1,0.0,2815780659
2018,4,-1132.7560669888471,-1072330478
2018,3,0.0,4462768372
2018,2,-1897.077556128865,1676102895
2018,1,0.0,2144537434
2017,4,-1927.9125235042093,0
2017,3,0.0,0
2017,2,0.0,-3413549408
2017,1,0.0,-4627630380
2016,4,-1780.1654133225197,0
2016,3,0.0,0
2016,2,0.0,8900000000
2016,1,0.0,-878514898
