year,quarter,EPS,Revenue
2025,3,20.66213348856321,15521537075
2025,2,18.66820399945213,14943800336
2025,1,29.78137709902753,18345401355
2024,4,19.585212053143405,8661994323
2024,3,3.380040761539515,8517549505
2024,2,21.329119271332694,9909273698
2024,1,10.242231557320915,10010158637
2023,4,9.805959704150116,7715863241
2023,3,-21.098814929461717,8039616082
2023,2,-28.56704024106287,5859696405
2023,1,3.9046565949869882,9273113057
2022,4,18.482900095877277,16391684234
2022,3,70.21781229968498,14951956885
2022,2,30.490343240651967,14625569088
2022,1,49.72407226407341,15682950430
2021,4,16.9413858375565,16450233888
2021,3,91.6714325708807,13908139687
2021,2,-2.491767840021915,8995332904
2021,1,-22.09658767292152,10260087236
2020,4,3.8357290782084648,9585937111
2020,3,6.884177290782085,12880058328
2020,2,12.711167867415423,11009014226
2020,1,-7.299627831803862,12400038873
2019,4,10.775003287220928,14986693443
2019,3,-6.5707510751951785,16957543006
2019,2,-26.008438350910833,11550122179
2019,1,-4.890420243802219,15608404001
2018,4,7.472917408574168,26185047317
2018,3,12.334361183399535,15124017444
2018,2,-4.70623100945076,22112345453
2018,1,7.539188412546227,24985740731
2017,4,-17.031954499383644,19032275962
2017,3,0.0,18914720976
2017,2,0.0,19169038920
2017,1,0.0,24477421135
2016,3,0.0,8769454109
2016,2,0.0,9958739376
2016,1,0.0,14464341976
2015,2,0.0,45918815922
2015,1,0.0,44968243421
