date,open,high,low,close,volume,value
01/02/2007,1066.33,1066.33,1049.32,1049.32,9626750.0,
01/02/2008,854.15,859.62,854.15,859.62,11386260.0,
01/02/2010,482.9,487.0,481.8,487.0,20695680.0,
01/02/2012,388.7,390.67,383.05,390.67,30800590.0,
01/02/2013,473.81,483.42,473.23,483.42,57696770.0,
01/02/2016,545.27,548.58,540.56,540.56,91516390.0,
01/02/2018,1111.74,1111.74,1090.25,1099.67,233072190.0,
01/02/2019,911.98,912.81,907.52,908.67,101242400.0,
01/02/2021,1056.61,1074.52,1035.51,1035.51,565564800.0,
01/02/2023,1114.68,1116.96,1075.97,1075.97,938658935.0,
01/02/2024,1162.78,1174.5,1162.45,1173.02,531547216.0,
01/03/2007,1147.51,1147.51,1123.07,1123.07,8786250.0,
01/03/2010,502.6,505.3,502.4,503.0,32389410.0,
01/03/2011,458.2,466.1,458.1,466.1,20498410.0,
01/03/2012,426.48,427.95,422.65,427.95,58982220.0,
01/03/2013,475.46,480.39,475.46,477.15,48407200.0,
01/03/2016,560.03,565.65,560.03,561.56,115276230.0,
01/03/2017,711.46,712.49,705.79,709.52,211022340.0,
01/03/2018,1121.54,1128.38,1110.92,1115.79,207156270.0,
01/03/2019,971.05,980.82,965.47,979.63,147716480.0,
01/03/2021,1176.93,1186.82,1174.45,1186.17,575763900.0,
01/03/2022,1493.93,1501.73,1491.48,1498.78,766211100.0,
01/03/2023,1023.29,1040.55,1013.37,1040.55,451887043.0,
01/03/2024,1256.72,1258.76,1247.87,1258.28,822115129.0,
01/04/2008,520.53,520.99,520.53,520.99,1527590.0,
01/04/2009,282.1,289.5,282.1,289.5,19997530.0,
01/04/2010,500.4,508.9,500.0,508.2,41808030.0,
01/04/2011,460.8,463.1,458.6,459.2,19989320.0,
01/04/2013,490.75,505.81,489.9,505.81,47153090.0,
01/04/2014,590.93,593.03,582.3,583.85,167165310.0,
01/04/2015,550.8,551.69,537.3,538.91,109335350.0,
01/04/2016,560.64,562.73,557.96,558.43,116291560.0,
01/04/2019,980.76,988.53,980.76,988.53,137258330.0,
01/04/2020,658.8,684.96,657.41,680.23,203313080.0,
01/04/2021,1194.59,1217.26,1192.83,1216.1,617974300.0,
01/04/2022,1492.15,1516.87,1484.13,1516.44,1087307257.0,
01/04/2024,1282.37,1286.8,1274.09,1281.52,840172566.0,
01/04/2025,1313.03,1317.46,1308.06,1317.33,516351102.0,
01/04/2026,1713.92,1715.21,1700.18,1702.93,943330209.0,
01/06/2007,1085.93,1085.93,1077.36,1077.36,5030890.0,
01/06/2009,418.8,427.6,418.4,426.4,40514250.0,
01/06/2010,505.2,509.1,503.7,508.7,35911060.0,
01/06/2011,423.0,435.7,420.9,435.7,28167240.0,
01/06/2012,430.75,432.27,427.98,428.8,40392570.0,
01/06/2015,571.15,579.58,570.14,574.98,112680510.0,
01/06/2016,618.2,620.2,616.3,619.86,99652390.0,
01/06/2017,739.45,742.23,737.82,741.8,136773790.0,
01/06/2018,973.67,995.06,971.25,992.87,160913600.0,
01/06/2020,868.97,878.67,868.97,878.67,418333970.0,
01/06/2021,1329.47,1346.34,1328.84,1337.78,585998900.0,
01/06/2022,1289.56,1302.25,1286.01,1299.52,471780800.0,
01/06/2023,1076.27,1078.39,1071.61,1078.39,800986902.0,
01/06/2026,1867.44,1871.09,1840.4,1844.54,506972140.0,
01/07/2008,406.46,409.83,406.46,409.61,8625300.0,
01/07/2009,439.6,439.6,429.5,430.0,41192040.0,
01/07/2010,504.1,506.6,503.7,504.0,40518620.0,
01/07/2011,432.5,432.5,424.3,425.3,21711420.0,
01/07/2013,478.98,482.03,475.26,480.04,30796540.0,
01/07/2014,578.93,582.16,577.3,578.07,101593980.0,
01/07/2015,594.52,594.52,587.33,591.5,114932070.0,
01/07/2016,632.26,643.55,632.26,640.3,106711160.0,
01/07/2019,958.92,965.61,949.94,965.61,123426860.0,
01/07/2020,827.67,844.26,826.38,843.49,247253260.0,
01/07/2021,1412.15,1417.27,1402.18,1417.08,689994700.0,
01/07/2022,1193.04,1202.41,1170.95,1198.9,466693700.0,
01/07/2024,1246.33,1254.56,1240.07,1254.56,403842640.0,
01/07/2025,1378.14,1382.16,1369.74,1377.84,725894731.0,
01/08/2007,905.34,923.14,905.34,923.14,5321030.0,
01/08/2011,404.84,404.91,400.49,401.95,15828610.0,
01/08/2012,413.73,413.99,410.54,412.55,25901000.0,
01/08/2013,491.48,494.31,489.57,492.43,27992370.0,
01/08/2014,594.66,596.8,592.38,593.9,59841150.0,
01/08/2016,655.38,655.38,646.02,648.38,89743110.0,
01/08/2017,784.44,787.68,783.55,786.81,201082610.0,
01/08/2018,957.35,960.05,949.89,952.77,180793930.0,
01/08/2019,993.25,997.39,990.88,997.39,135015390.0,
