type,label,total_return_pct,ann_return_pct,sharpe,max_dd_pct,time_invested_pct,start_capital_M,end_capital_M,n_trades,win_rate_pct,avg_winner_pct,avg_loser_pct
summary,TOTAL,18491.87,30.1,0.731,-49.1,51.1,100.0,18591.87,1352.0,49.3,23.81,-8.18
sector,Banks,,,,,,,1631.01,329.0,34.0,21.61,-2.84
sector,Basic Resources,,,,,,,7303.54,215.0,52.1,24.36,-8.76
sector,Food & Beverage,,,,,,,3057.71,224.0,55.4,22.98,-12.49
sector,Real Estate,,,,,,,6499.68,584.0,54.5,24.71,-10.7
annual,2006,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
annual,2007,0.0,0.0,0.0,0.0,0.0,,,,,-6.88,
annual,2008,14.33,14.33,0.787,-5.42,29.0,,,,,-81.51,
annual,2009,22.11,22.11,0.642,-30.33,67.7,,,,,56.77,
annual,2010,21.82,21.82,1.013,-10.13,33.6,,,,,-2.04,
annual,2011,-3.0,-3.0,-0.242,-7.96,27.4,,,,,-27.47,
annual,2012,38.84,38.84,0.869,-22.17,76.8,,,,,17.69,
annual,2013,60.01,60.01,1.126,-19.96,75.6,,,,,21.97,
annual,2014,-10.64,-10.64,0.131,-38.8,66.0,,,,,8.12,
annual,2015,29.52,29.52,1.59,-6.37,91.5,,,,,6.12,
annual,2016,57.07,57.07,0.938,-39.99,48.2,,,,,14.82,
annual,2017,47.06,47.06,1.132,-15.16,58.4,,,,,48.03,
annual,2018,8.8,8.8,0.634,-8.97,69.6,,,,,-9.32,
annual,2019,35.35,35.35,1.496,-12.85,64.0,,,,,7.67,
annual,2020,118.3,118.3,2.088,-12.31,73.4,,,,,14.87,
annual,2021,104.23,104.23,1.188,-41.85,58.0,,,,,35.73,
annual,2022,-16.21,-16.21,-0.551,-26.95,26.5,,,,,-32.78,
annual,2023,194.05,194.05,1.425,-49.1,81.1,,,,,12.2,
annual,2024,-1.87,-1.87,-0.409,-5.06,7.2,,,,,12.11,
annual,2025,25.51,25.51,0.667,-26.23,56.1,,,,,30.91,
annual,2026,-4.76,-4.76,-0.567,-13.78,58.7,,,,,4.81,
