ticker,entry_date,sector,sector_neutral_ret,q0_np_yoy,q0_roe,q0_accel,q0_rev_yoy,q1_np_yoy,q1_accel,outcome
MBB,2025-08-11,Banks,-0.0935,0.4435,,2,,-0.0159,1,Loser
DPM,2025-08-11,Chemicals,-0.0985,-0.2243,1.7994,1,0.2457,0.7473,2,Loser
CTG,2025-08-11,Banks,-0.1162,0.0993,,1,,0.8028,1,Loser
NLG,2025-08-11,Real Estate,-0.1589,2.41,0.7463,2,5.3093,-0.3136,1,Loser
IDI,2025-08-11,Food & Beverage,-0.1951,0.9257,0.7493,2,-0.0826,0.8036,1,Loser
HSG,2025-08-11,Basic Resources,-0.2192,-0.3499,1.8343,1,-0.0864,0.0014,1,Loser
FCN,2025-08-11,Construction & Materials,-0.2338,0.1037,-0.1956,1,0.3418,0.8723,1,Loser
HDC,2025-08-11,Real Estate,-0.2406,9.2866,0.5943,1,0.1599,0.1506,1,Loser
DXS,2025-08-11,Real Estate,-0.2616,0.2834,0.4791,0,-0.0407,4.6818,1,Loser
HID,2025-09-10,Construction & Materials,0.7191,-0.366,-1.6513,1,0.5778,6.9788,2,Winner
HHP,2025-09-10,Basic Resources,0.514,1.1725,1.6949,1,1.1916,3.182,2,Winner
GAS,2025-09-10,Utilities,0.2988,0.4296,6.9033,2,0.0009,0.0108,1,Winner
NNC,2025-09-10,Construction & Materials,0.2908,0.7447,7.5143,1,0.3968,1.6308,1,Winner
KOS,2025-09-10,Real Estate,0.2313,-0.5752,0.186,1,-0.0547,-0.4765,1,Winner
D2D,2025-09-10,Real Estate,0.2028,33.3336,29.2226,2,19.087,6.4133,1,Winner
DCM,2025-09-10,Chemicals,0.1915,0.345,7.6684,2,0.5627,1.7224,2,Winner
NT2,2025-09-10,Utilities,0.1311,1.6701,7.598,2,-0.0479,3.8354,2,Winner
PC1,2025-09-10,Construction & Materials,0.1134,-0.1074,1.7962,1,-0.0656,0.8853,2,Winner
DPM,2025-09-10,Chemicals,0.1102,0.7473,3.4377,2,0.3429,2.7527,2,Winner
DHA,2025-09-10,Construction & Materials,0.0886,0.6914,7.0544,1,0.4718,1.1133,1,Winner
AGR,2025-09-10,Financial Services,0.0625,-0.5324,0.4753,0,-0.1976,1.1824,1,Winner
SZC,2025-09-10,Real Estate,0.0579,-0.0714,3.0415,1,-0.1699,-0.6506,0,Winner
DHC,2025-09-10,Basic Resources,0.0469,0.3737,4.0014,2,-0.1332,0.2932,1,Winner
DPR,2025-09-10,Chemicals,0.0224,-0.2793,1.5675,0,-0.1342,2.0998,1,Winner
CTI,2025-09-10,Construction & Materials,-0.0025,0.2013,1.3595,1,0.3569,0.1563,0,Loser
VGC,2025-09-10,Real Estate,-0.0064,1.7589,4.0413,1,0.1907,-0.5508,1,Loser
TCH,2025-09-10,Real Estate,-0.0141,-0.7314,0.3125,0,-0.5288,-0.817,0,Loser
CMG,2025-09-10,Technology,-0.0258,0.1313,2.478,1,0.2323,0.5286,1,Loser
TTF,2025-09-10,Personal & Household Goods,-0.0321,1.1938,0.4696,2,-0.3686,0.4229,1,Loser
REE,2025-09-10,Utilities,-0.0333,0.7604,2.6522,1,0.1524,0.4051,1,Loser
VIB,2025-09-10,Banks,-0.0386,0.2338,,1,,0.0158,1,Loser
TRC,2025-09-10,Chemicals,-0.0486,1.7222,1.7564,1,0.4599,0.6043,0,Loser
PAN,2025-09-10,Food & Beverage,-0.052,0.496,1.5493,2,0.1944,-0.1637,1,Loser
HT1,2025-09-10,Construction & Materials,-0.0643,1.4505,2.2665,2,0.0117,2.7989,2,Loser
HPG,2025-09-10,Basic Resources,-0.0707,0.2824,3.4787,2,-0.0921,0.3193,2,Loser
FCN,2025-09-10,Construction & Materials,-0.0759,0.8723,0.6431,1,0.6255,1.0452,2,Loser
BIC,2025-09-10,Insurance,-0.1681,0.0297,5.6816,1,-0.0034,0.2835,1,Loser
CTG,2025-09-10,Banks,-0.1733,0.8028,,1,,0.6394,1,Loser
IJC,2025-09-10,Construction & Materials,-0.1801,0.3258,1.8385,1,-0.5167,1.9373,2,Loser
GIL,2025-09-10,Personal & Household Goods,-0.2116,-20.3722,-2.8583,1,-0.1112,-11.9203,1,Loser
DIG,2025-09-10,Real Estate,-0.2124,-0.6709,0.5148,1,-0.5711,28.8848,1,Loser
HSG,2025-09-10,Basic Resources,-0.2425,0.0014,2.4323,1,-0.1228,1.4864,2,Loser
HDC,2025-09-10,Real Estate,-0.2793,0.1506,2.4702,1,-0.5322,40.1291,1,Loser
DXS,2025-09-10,Real Estate,-0.3135,4.6818,2.4925,1,0.3739,1.2212,1,Loser
BVH,2025-10-08,Insurance,0.3274,0.5533,2.7933,1,0.0671,0.4178,1,Winner
PC1,2025-10-08,Construction & Materials,0.2175,-0.1074,1.7962,1,-0.0656,0.8853,2,Winner
HHP,2025-10-08,Basic Resources,0.2115,1.1725,1.6949,1,1.1916,3.182,2,Winner
DCM,2025-10-08,Chemicals,0.1529,0.345,7.6684,2,0.5627,1.7224,2,Winner
D2D,2025-10-08,Real Estate,0.1489,33.3336,29.2226,2,19.087,6.4133,1,Winner
KOS,2025-10-08,Real Estate,0.1395,-0.5752,0.186,1,-0.0547,-0.4765,1,Winner
QCG,2025-10-08,Real Estate,0.1293,1.4095,0.1468,1,3.95,-0.0804,0,Winner
GMD,2025-10-08,Industrial Goods & Services,0.1238,0.3478,3.2317,1,0.2979,-0.0592,1,Winner
BID,2025-10-08,Banks,0.1096,0.0567,,1,,0.1674,2,Winner
NT2,2025-10-08,Utilities,0.1094,1.6701,7.598,2,-0.0479,3.8354,2,Winner
PAN,2025-10-08,Food & Beverage,0.0966,0.496,1.5493,2,0.1944,-0.1637,1,Winner
AGR,2025-10-08,Financial Services,0.0866,-0.5324,0.4753,0,-0.1976,1.1824,1,Winner
BAF,2025-10-08,Food & Beverage,0.0809,5.0991,4.9087,1,0.0497,-0.6581,1,Winner
DHA,2025-10-08,Construction & Materials,0.0751,0.6914,7.0544,1,0.4718,1.1133,1,Winner
DPG,2025-10-08,Construction & Materials,0.0431,0.3404,2.6599,2,0.1888,2.6452,2,Winner
BSI,2025-10-08,Financial Services,0.0299,-0.1122,1.9535,1,0.194,2.0795,2,Winner
VGC,2025-10-08,Real Estate,0.0176,1.7589,4.0413,1,0.1907,-0.5508,1,Winner
HDG,2025-10-08,Real Estate,0.0168,-1.2875,-0.2376,1,0.0724,1.071,1,Winner
SZC,2025-10-08,Real Estate,0.0116,-0.0714,3.0415,1,-0.1699,-0.6506,0,Winner
HT1,2025-10-08,Construction & Materials,0.0081,1.4505,2.2665,2,0.0117,2.7989,2,Winner
HAH,2025-10-08,Industrial Goods & Services,0.0002,2.234,7.5178,0,0.3435,0.526,0,Winner
CTI,2025-10-08,Construction & Materials,-0.0001,0.2013,1.3595,1,0.3569,0.1563,0,Loser
TTF,2025-10-08,Personal & Household Goods,-0.0359,1.1938,0.4696,2,-0.3686,0.4229,1,Loser
IJC,2025-10-08,Construction & Materials,-0.0409,0.3258,1.8385,1,-0.5167,1.9373,2,Loser
TCB,2025-10-08,Banks,-0.0483,0.0124,,2,,0.1416,2,Loser
CMG,2025-10-08,Technology,-0.0492,0.1313,2.478,1,0.2323,0.5286,1,Loser
BIC,2025-10-08,Insurance,-0.1037,0.0297,5.6816,1,-0.0034,0.2835,1,Loser
CRE,2025-10-08,Real Estate,-0.1227,4.1286,0.6914,1,0.0498,0.6211,1,Loser
TCH,2025-10-08,Real Estate,-0.1227,-0.7314,0.3125,0,-0.5288,-0.817,0,Loser
FCN,2025-10-08,Construction & Materials,-0.1488,0.8723,0.6431,1,0.6255,1.0452,2,Loser
DXS,2025-10-08,Real Estate,-0.2372,4.6818,2.4925,1,0.3739,1.2212,1,Loser
BSR,2025-10-08,Oil & Gas,-0.2448,0.082,1.4955,2,0.5056,1.7499,2,Loser
CDC,2025-10-08,Construction & Materials,-0.2991,0.1778,0.7989,1,-0.1241,6.484,2,Loser
HAX,2025-10-08,Retail,-0.3218,-1.5916,-0.32,0,-0.0833,-1.4569,1,Loser
HDC,2025-10-08,Real Estate,-0.3299,0.1506,2.4702,1,-0.5322,40.1291,1,Loser
NAF,2025-11-05,Food & Beverage,0.5482,0.1651,5.6794,1,0.5424,0.5581,2,Winner
BSR,2025-11-05,Oil & Gas,0.3614,0.082,1.4955,2,0.5056,1.7499,2,Winner
TCI,2025-11-05,Financial Services,0.2781,0.4865,1.3642,2,0.2002,2.3535,2,Winner
GMD,2025-11-05,Industrial Goods & Services,0.1831,0.3478,3.2317,1,0.2979,-0.0592,1,Winner
BID,2025-11-05,Banks,0.1746,0.0567,,1,,0.1674,2,Winner
DPG,2025-11-05,Construction & Materials,0.1361,0.3404,2.6599,2,0.1888,2.6452,2,Winner
QCG,2025-11-05,Real Estate,0.1241,1.4095,0.1468,1,3.95,-0.0804,0,Winner
KOS,2025-11-05,Real Estate,0.123,-0.5752,0.186,1,-0.0547,-0.4765,1,Winner
TAL,2025-11-05,Real Estate,0.1036,11.5675,0.8127,2,-0.1154,0.1718,1,Winner
CTI,2025-11-05,Construction & Materials,0.0981,0.2013,1.3595,1,0.3569,0.1563,0,Winner
D2D,2025-11-05,Real Estate,0.0797,33.3336,29.2226,2,19.087,6.4133,1,Winner
AGR,2025-11-05,Financial Services,0.0704,-0.5324,0.4753,0,-0.1976,1.1824,1,Winner
DHA,2025-11-05,Construction & Materials,0.0678,0.6914,7.0544,1,0.4718,1.1133,1,Winner
HPX,2025-11-05,Real Estate,0.0625,0.1395,0.8981,2,0.4744,-0.4494,1,Winner
VHC,2025-11-05,Food & Beverage,0.0592,0.6186,5.3015,1,-0.001,0.3505,1,Winner
DPR,2025-11-05,Chemicals,0.0524,-0.2793,1.5675,0,-0.1342,2.0998,1,Winner
HT1,2025-11-05,Construction & Materials,0.0497,1.4505,2.2665,2,0.0117,2.7989,2,Winner
PC1,2025-11-05,Construction & Materials,0.02,-0.1074,1.7962,1,-0.0656,0.8853,2,Winner
BSI,2025-11-05,Financial Services,-0.004,-0.1122,1.9535,1,0.194,2.0795,2,Loser
IJC,2025-11-05,Construction & Materials,-0.0143,0.3258,1.8385,1,-0.5167,1.9373,2,Loser
HAH,2025-11-05,Industrial Goods & Services,-0.0356,2.234,7.5178,0,0.3435,0.526,0,Loser
CMG,2025-11-05,Technology,-0.0404,0.1313,2.478,1,0.2323,0.5286,1,Loser
BCM,2025-11-05,Real Estate,-0.043,4.3982,6.7928,2,1.5117,0.207,1,Loser
SZC,2025-11-05,Real Estate,-0.0437,-0.0714,3.0415,1,-0.1699,-0.6506,0,Loser
BIC,2025-11-05,Insurance,-0.0503,0.0297,5.6816,1,-0.0034,0.2835,1,Loser
AAA,2025-11-05,Industrial Goods & Services,-0.0615,-0.0309,2.2531,1,-0.1698,4.3925,2,Loser
CRE,2025-11-05,Real Estate,-0.0685,4.1286,0.6914,1,0.0498,0.6211,1,Loser
TTF,2025-11-05,Personal & Household Goods,-0.0757,1.1938,0.4696,2,-0.3686,0.4229,1,Loser
DC4,2025-11-05,Construction & Materials,-0.0759,-0.2742,3.7355,1,-0.0092,0.6882,1,Loser
NT2,2025-11-05,Utilities,-0.0773,1.6701,7.598,2,-0.0479,3.8354,2,Loser
VIB,2025-11-05,Banks,-0.1107,0.2338,,1,,0.0158,1,Loser
TCH,2025-11-05,Real Estate,-0.1449,-0.7314,0.3125,0,-0.5288,-0.817,0,Loser
NLG,2025-11-05,Real Estate,-0.1825,-0.3136,0.6986,1,2.0622,3.7869,1,Loser
LDG,2025-11-05,Real Estate,-0.2173,0.6148,-9.3407,1,1.181,2.3992,1,Loser
PNJ,2025-11-05,Retail,-0.3142,0.0201,3.651,1,-0.2034,1.2967,2,Loser
NAF,2025-12-03,Food & Beverage,0.6209,0.5581,4.3822,2,0.7527,0.1777,1,Winner
BSR,2025-12-03,Oil & Gas,0.3773,1.7499,1.5796,2,0.1047,34.7702,2,Winner
GMD,2025-12-03,Industrial Goods & Services,0.3524,-0.0592,2.2216,1,0.2345,1.1883,1,Winner
PVP,2025-12-03,Industrial Goods & Services,0.2947,0.0045,3.6671,1,1.3206,0.302,2,Winner
TCI,2025-12-03,Financial Services,0.1966,2.3535,5.0895,2,1.6391,-35.3513,1,Winner
PVT,2025-12-03,Industrial Goods & Services,0.1788,-0.2784,2.3675,1,0.5062,0.2654,1,Winner
DPG,2025-12-03,Construction & Materials,0.1536,2.6452,2.5701,2,0.5792,0.2134,1,Winner
KOS,2025-12-03,Real Estate,0.1138,-0.5752,0.186,1,-0.0547,-0.4765,1,Winner
QCG,2025-12-03,Real Estate,0.1116,-0.0804,0.5167,0,-0.3751,1.1427,1,Winner
HPX,2025-12-03,Real Estate,0.1099,-0.4494,0.1574,1,-0.7048,14.6711,1,Winner
HT1,2025-12-03,Construction & Materials,0.0967,2.7989,1.7119,2,0.1394,2.9938,2,Winner
DHA,2025-12-03,Construction & Materials,0.057,1.1133,7.2515,1,0.6768,1.463,2,Winner
FCN,2025-12-03,Construction & Materials,0.0516,1.0452,0.4315,2,0.535,2.2944,2,Winner
D2D,2025-12-03,Real Estate,0.0497,6.4133,2.5488,1,2.7892,-0.9158,0,Winner
DPR,2025-12-03,Chemicals,0.0308,2.0998,4.1145,1,0.3841,-0.1592,1,Winner
ELC,2025-12-03,Technology,0.0273,3.2789,2.6487,2,1.4153,-0.0895,1,Winner
OCB,2025-12-03,Banks,0.0198,2.5367,,2,,0.1204,1,Winner
CMG,2025-12-03,Technology,-0.0091,0.5286,2.3281,1,0.106,0.0627,1,Loser
VNM,2025-12-03,Food & Beverage,-0.0128,0.0513,6.6577,2,0.0911,0.3375,2,Loser
BCM,2025-12-03,Real Estate,-0.0167,0.207,1.882,1,-0.3252,-0.0956,0,Loser
HTN,2025-12-03,Construction & Materials,-0.0241,3.9755,0.1183,1,0.5348,-6.7196,0,Loser
DSE,2025-12-03,Financial Services,-0.0415,2.0831,3.1867,2,1.5265,-0.7198,1,Loser
SMC,2025-12-03,Basic Resources,-0.0808,0.0316,-11.6965,2,-0.3098,2.1865,2,Loser
AGG,2025-12-03,Real Estate,-0.0845,3.4867,3.2676,2,-0.3652,2.7787,1,Loser
TCB,2025-12-03,Banks,-0.0863,0.1416,,2,,1.0408,2,Loser
NLG,2025-12-03,Real Estate,-0.0883,3.7869,1.016,1,4.0657,-0.3,1,Loser
KSB,2025-12-03,Basic Resources,-0.092,1.9059,1.2942,0,1.9051,1.0687,0,Loser
TCH,2025-12-03,Real Estate,-0.0938,-0.817,0.2828,0,-0.7562,-0.829,0,Loser
DC4,2025-12-03,Construction & Materials,-0.1184,0.6882,4.9043,1,0.8353,0.4403,1,Loser
NHA,2025-12-03,Construction & Materials,-0.1347,1.367,4.7371,1,2.9423,-0.7968,1,Loser
TTF,2025-12-03,Personal & Household Goods,-0.1436,0.4229,-3.2449,1,0.3214,-0.4467,0,Loser
PVD,2025-12-03,Oil & Gas,-0.1563,0.5308,1.6212,1,0.0543,0.6684,1,Loser
PNJ,2025-12-03,Retail,-0.2314,1.2967,4.1336,2,0.1411,0.664,1,Loser
VTP,2025-12-03,Industrial Goods & Services,-0.2354,-0.202,4.8817,0,-0.0924,0.1754,1,Loser
TAL,2025-12-03,Real Estate,-0.2661,0.1718,3.4587,1,2.9866,-0.1756,0,Loser
