ticker,entry_date,sector,sector_neutral_ret,q0_np_yoy,q0_roe,q0_accel,q0_rev_yoy,q1_np_yoy,q1_accel,outcome
HSL,2025-02-13,Food & Beverage,1.6958,-0.2283,0.2777,1,-0.5078,-0.8343,0,Winner
GEX,2025-02-13,Industrial Goods & Services,1.3659,-0.1898,0.4378,0,0.1631,29.561,1,Winner
SMC,2025-02-13,Basic Resources,0.8831,0.5204,-9.7729,0,-0.2752,0.1162,0,Winner
VNE,2025-02-13,Construction & Materials,0.5845,-29.0374,-3.5786,1,-0.0474,-18.0502,2,Winner
EVG,2025-02-13,Construction & Materials,0.5509,0.3126,0.2883,1,0.2412,0.8343,2,Winner
VSC,2025-02-13,Industrial Goods & Services,0.5361,0.6563,1.1716,1,0.2727,2.7849,1,Winner
SHB,2025-02-13,Banks,0.5231,-0.1548,,1,,2.4221,1,Winner
HVH,2025-02-13,Personal & Household Goods,0.3795,6.4196,0.7351,1,1.3872,2.4893,1,Winner
SCR,2025-02-13,Real Estate,0.3351,-0.3825,0.012,1,0.498,-0.7555,1,Winner
CII,2025-02-13,Real Estate,0.3027,-0.7233,0.0633,1,-0.0348,-0.9515,1,Winner
PHR,2025-02-13,Chemicals,0.1953,-0.1896,2.3992,2,-0.091,0.5432,2,Winner
CMG,2025-02-13,Technology,0.1644,-0.1282,1.7146,0,0.2254,-0.027,1,Winner
CTF,2025-02-13,Retail,0.0369,-0.9101,0.1894,1,0.227,5.1029,1,Winner
BWE,2025-02-13,Utilities,0.0032,0.0289,3.3979,1,0.1213,0.0017,1,Winner
APG,2025-02-13,Financial Services,-0.0235,-22.0348,-6.0823,1,-0.3091,-2.2866,1,Loser
TPB,2025-02-13,Banks,-0.0587,0.0952,,1,,2.4523,1,Loser
KHG,2025-02-13,Real Estate,-0.0929,0.1574,0.2732,2,-0.1058,0.7591,2,Loser
OCB,2025-02-13,Banks,-0.097,-0.6795,,0,,0.1034,1,Loser
FPT,2025-02-13,Technology,-0.1123,0.2009,5.9071,1,0.1556,0.2075,1,Loser
HHP,2025-02-13,Basic Resources,-0.1254,0.0359,0.2247,2,0.7171,5.1542,2,Loser
HQC,2025-02-13,Real Estate,-0.1582,8.3082,0.2064,2,-0.8947,2.7474,1,Loser
VCG,2025-02-13,Real Estate,-0.1617,-0.2275,0.7404,0,0.1233,1.0821,1,Loser
AGG,2025-02-13,Real Estate,-0.169,-0.5476,0.7796,1,-0.8548,0.1675,2,Loser
CTS,2025-02-13,Financial Services,-0.1807,-0.2216,2.3807,1,0.1795,0.7818,2,Loser
HDG,2025-02-13,Real Estate,-0.1992,0.6304,1.8212,1,0.2336,-0.4689,0,Loser
PVP,2025-02-13,Industrial Goods & Services,-0.2343,0.2318,3.7872,2,-0.3615,0.2582,2,Loser
VIP,2025-02-13,Industrial Goods & Services,-0.24,-0.0655,1.7107,1,0.2141,30.8659,2,Loser
VDS,2025-02-13,Financial Services,-0.2549,-0.1717,2.7221,0,-0.1062,-1.3736,0,Loser
AGR,2025-02-13,Financial Services,-0.277,0.1731,1.2984,1,-0.0173,0.2695,2,Loser
DHC,2025-02-13,Basic Resources,-0.315,0.378,3.9331,2,0.1284,-0.3462,1,Loser
D2D,2025-02-13,Real Estate,-0.3634,1.4866,0.2643,1,-0.1824,2.8719,2,Loser
PVT,2025-02-13,Industrial Goods & Services,-0.4439,0.4646,3.6049,1,0.1504,-0.0859,1,Loser
SAB,2025-02-13,Food & Beverage,-0.4532,0.0715,4.2678,1,0.0344,0.0199,0,Loser
LHG,2025-02-13,Real Estate,-0.4932,0.3164,2.6092,1,0.3442,-0.2726,0,Loser
HSL,2025-03-13,Food & Beverage,2.1541,-0.2283,0.2777,1,-0.5078,-0.8343,0,Winner
GEX,2025-03-13,Industrial Goods & Services,1.3015,-0.1898,0.4378,0,0.1631,29.561,1,Winner
LDG,2025-03-13,Real Estate,0.8861,-0.186,-3.4349,1,-44.4054,-0.8455,1,Winner
GEE,2025-03-13,Industrial Goods & Services,0.5627,-0.1913,5.8268,1,0.2736,4.2005,1,Winner
VSC,2025-03-13,Industrial Goods & Services,0.545,0.6563,1.1716,1,0.2727,2.7849,1,Winner
DXS,2025-03-13,Real Estate,0.512,9.2025,0.4223,2,0.1414,1.3198,1,Winner
HVH,2025-03-13,Personal & Household Goods,0.3954,6.4196,0.7351,1,1.3872,2.4893,1,Winner
MWG,2025-03-13,Retail,0.2467,19.6548,2.9336,1,0.1274,8.3843,0,Winner
CRE,2025-03-13,Real Estate,0.2356,173.9516,0.2521,1,1.2368,10.4801,1,Winner
NVL,2025-03-13,Real Estate,0.1938,17.2976,7.6799,1,0.8733,-2.4013,1,Winner
TCI,2025-03-13,Financial Services,-0.0163,0.0228,1.7359,1,-0.0053,-0.4618,1,Loser
TPB,2025-03-13,Banks,-0.031,0.0952,,1,,2.4523,1,Loser
CTF,2025-03-13,Retail,-0.0337,-0.9101,0.1894,1,0.227,5.1029,1,Loser
OCB,2025-03-13,Banks,-0.055,-0.6795,,0,,0.1034,1,Loser
KHG,2025-03-13,Real Estate,-0.0897,0.1574,0.2732,2,-0.1058,0.7591,2,Loser
DPR,2025-03-13,Chemicals,-0.1044,0.1928,1.3752,1,0.2177,0.2918,1,Loser
FPT,2025-03-13,Technology,-0.124,0.2009,5.9071,1,0.1556,0.2075,1,Loser
HQC,2025-03-13,Real Estate,-0.1418,8.3082,0.2064,2,-0.8947,2.7474,1,Loser
PVP,2025-03-13,Industrial Goods & Services,-0.1781,0.2318,3.7872,2,-0.3615,0.2582,2,Loser
AGG,2025-03-13,Real Estate,-0.1811,-0.5476,0.7796,1,-0.8548,0.1675,2,Loser
VIP,2025-03-13,Industrial Goods & Services,-0.1827,-0.0655,1.7107,1,0.2141,30.8659,2,Loser
DHC,2025-03-13,Basic Resources,-0.2071,0.378,3.9331,2,0.1284,-0.3462,1,Loser
IDI,2025-03-13,Food & Beverage,-0.2158,-0.2334,0.4298,1,0.0756,-0.0511,2,Loser
CTS,2025-03-13,Financial Services,-0.2528,-0.2216,2.3807,1,0.1795,0.7818,2,Loser
HHP,2025-03-13,Basic Resources,-0.2858,0.0359,0.2247,2,0.7171,5.1542,2,Loser
DC4,2025-03-13,Construction & Materials,-0.2917,7.5986,4.4107,1,1.0509,-0.7477,0,Loser
PTB,2025-03-13,Construction & Materials,-0.3485,0.0391,2.6936,0,0.2512,0.7725,1,Loser
D2D,2025-03-13,Real Estate,-0.3645,1.4866,0.2643,1,-0.1824,2.8719,2,Loser
BSI,2025-03-13,Financial Services,-0.4011,-0.4294,1.4071,0,-0.1733,0.4155,1,Loser
PVT,2025-03-13,Industrial Goods & Services,-0.4037,0.4646,3.6049,1,0.1504,-0.0859,1,Loser
DBC,2025-03-13,Food & Beverage,-0.4113,24.0464,4.7826,1,0.3011,36.0203,2,Loser
LHG,2025-03-13,Real Estate,-0.4138,0.3164,2.6092,1,0.3442,-0.2726,0,Loser
SAB,2025-03-13,Food & Beverage,-0.4413,0.0715,4.2678,1,0.0344,0.0199,0,Loser
SIP,2025-03-13,Real Estate,-0.634,0.5574,6.4085,1,0.1597,-0.0651,1,Loser
LDG,2025-04-11,Real Estate,1.2557,-0.8455,-19.6996,1,1.0363,1.0983,1,Winner
GEX,2025-04-11,Industrial Goods & Services,1.2001,29.561,2.4434,1,0.2514,1.1533,1,Winner
HSL,2025-04-11,Food & Beverage,1.1875,-0.8343,0.2052,0,-0.9242,0.4858,1,Winner
DXS,2025-04-11,Real Estate,0.5405,1.3198,0.4377,1,0.1671,0.2834,0,Winner
VSC,2025-04-11,Industrial Goods & Services,0.4706,2.7849,3.4614,1,0.2379,0.7999,1,Winner
ORS,2025-04-11,Financial Services,0.3616,0.2028,1.8101,1,-0.1283,-1.0954,0,Winner
MWG,2025-04-11,Retail,0.3172,8.3843,3.0119,0,0.1003,0.7131,0,Winner
DLG,2025-04-11,Personal & Household Goods,0.3,1.7287,14.6888,1,-0.3681,0.0257,0,Winner
CDC,2025-04-11,Construction & Materials,0.2815,1.1303,5.6427,1,0.0733,-0.9735,1,Winner
NVL,2025-04-11,Real Estate,0.2301,-2.4013,-4.836,1,1.3566,0.2181,1,Winner
DCM,2025-04-11,Chemicals,0.2091,-0.4277,2.7899,0,0.1818,0.1891,1,Winner
MSN,2025-04-11,Food & Beverage,0.0252,12.7908,1.6957,1,0.0924,2.7707,0,Winner
LCG,2025-04-11,Construction & Materials,0.0149,-0.4186,1.4464,0,-0.0348,0.3809,1,Winner
HPX,2025-04-11,Real Estate,-0.0489,-0.9381,0.1205,1,0.0586,-0.1417,1,Loser
DSE,2025-04-11,Financial Services,-0.08,-0.6626,0.8211,1,0.0938,-0.2431,1,Loser
NTL,2025-04-11,Real Estate,-0.1165,-1.1321,-2.7477,0,-0.9715,0.2038,1,Loser
NLG,2025-04-11,Real Estate,-0.1201,0.714,3.4101,1,2.8928,2.41,2,Loser
MBB,2025-04-11,Banks,-0.1486,0.2649,,1,,0.4435,2,Loser
KHG,2025-04-11,Real Estate,-0.1722,0.7591,0.2499,2,2.6294,0.1858,1,Loser
CTS,2025-04-11,Financial Services,-0.1994,0.7818,2.5819,2,-0.0272,0.0667,1,Loser
CTF,2025-04-11,Retail,-0.2231,5.1029,3.2467,1,0.2627,-0.7105,1,Loser
