time,open,high,low,close,volume,value
2013-01-02 00:00:00,5.92,5.92,5.84,5.92,910810,5391995.2
2013-01-03 00:00:00,5.84,6.0,5.68,5.68,1619910,9201088.799999999
2013-01-04 00:00:00,5.6,5.84,5.6,5.68,910850,5173628.0
2013-01-07 00:00:00,5.84,5.92,5.52,5.52,1063140,5868532.8
2013-01-08 00:00:00,5.52,5.68,5.52,5.6,661710,3705575.9999999995
2013-01-09 00:00:00,5.6,5.84,5.36,5.36,1644500,8814520.0
2013-01-10 00:00:00,5.36,5.52,5.28,5.52,474090,2616976.8
2013-01-11 00:00:00,5.6,5.68,5.44,5.52,658200,3633263.9999999995
2013-01-14 00:00:00,5.52,5.76,5.36,5.76,1575580,9075340.799999999
2013-01-15 00:00:00,6.0,6.16,5.92,6.08,1158970,7046537.6
2013-01-16 00:00:00,6.08,6.24,5.92,6.0,1090340,6542040.0
2013-01-17 00:00:00,5.76,6.0,5.6,5.68,1309200,7436256.0
2013-01-18 00:00:00,5.68,5.76,5.52,5.52,748190,4130008.8
2013-01-21 00:00:00,5.68,5.84,5.6,5.68,1168980,6639806.399999999
2013-01-22 00:00:00,5.68,5.76,5.44,5.44,745010,4052854.4000000004
2013-01-23 00:00:00,5.52,5.6,5.28,5.44,304880,1658547.2000000002
2013-01-24 00:00:00,5.44,5.6,5.36,5.52,648280,3578505.5999999996
2013-01-25 00:00:00,5.6,5.76,5.52,5.68,1369290,7777567.199999999
2013-01-28 00:00:00,5.76,5.84,5.6,5.6,1382570,7742391.999999999
2013-01-29 00:00:00,5.6,5.92,5.6,5.76,1363010,7850937.6
2013-01-30 00:00:00,5.84,6.16,5.84,6.16,1581400,9741424.0
2013-01-31 00:00:00,6.48,6.56,6.32,6.56,1858910,12194449.6
2013-02-01 00:00:00,6.64,6.88,6.32,6.4,2339310,14971584.0
2013-02-04 00:00:00,6.4,6.4,6.16,6.24,890760,5558342.4
2013-02-05 00:00:00,6.08,6.32,6.0,6.08,906550,5511824.0
2013-02-06 00:00:00,6.08,6.4,6.08,6.4,780580,4995712.0
