date,symbol,buy_volume,sell_volume,buy_value,sell_value,net_volume,net_value
2026-03-13,VCI,81600,290045,2982035000,10500107000,-208445,-7518072000
2026-03-13,VGC,294900,20000,13496705000,914750000,274900,12581955000
2026-03-13,VHC,100,28000,5890000,1647280000,-27900,-1641390000
2026-03-13,VHM,96300,155100,9185960000,14792300000,-58800,-5606340000
2026-03-13,VIB,198100,294601,3311750000,4916816000,-96501,-1605066000
2026-03-13,VIC,40500,126200,5905100000,18526710000,-85700,-12621610000
2026-03-13,VIX,2067700,1450000,35500730000,24527500000,617700,10973230000
2026-03-13,VJC,18300,37700,2802950000,5806970000,-19400,-3004020000
2026-03-13,VND,3400,150000,56665000,2535000000,-146600,-2478335000
2026-03-13,VNM,807000,1103900,50095970000,68215110000,-296900,-18119140000
2026-03-13,VNP,11800,3500,226390000,67350000,8300,159040000
2026-03-13,VOS,0,20400,0,293760000,-20400,-293760000
2026-03-13,VPB,692900,771300,17891050000,19903680000,-78400,-2012630000
2026-03-13,VPI,200,0,11580000,0,200,11580000
2026-03-13,VPL,2500,15300,199630000,1204120000,-12800,-1004490000
2026-03-13,VRE,334400,353900,8605440000,9072975000,-19500,-467535000
2026-03-13,VSC,400,0,9540000,0,400,9540000
2026-03-13,VTO,0,0,0,0,0,0
2026-03-13,VTP,12800,0,1171200000,0,12800,1171200000
