date,time,symbol,price,volume,value,cum_volume,cum_value,floor
2026-03-12,10:31:51,DCM,48.7,7,340.90000000000003,25,1217.5,HOSE
2026-03-12,10:32:18,DCM,48.7,1,48.7,26,1266.2,HOSE
2026-03-12,10:32:41,DCM,48.7,1,48.7,27,1314.9,HOSE
2026-03-12,10:33:02,HPG,27.1,1,27.1,19,514.9,HOSE
2026-03-12,10:33:27,HPG,27.1,2,54.2,21,569.1,HOSE
2026-03-12,10:33:55,VCI,35.7,2,71.4,19,678.3000000000001,HOSE
2026-03-12,10:34:27,TCB,30.3,2,60.6,1230526,40531287.800000004,HOSE
2026-03-12,10:34:37,TCB,33.2,940000,31208000.000000004,2170526,71739287.80000001,HOSE
2026-03-12,10:34:51,DCM,48.7,2,97.4,29,1412.3000000000002,HOSE
2026-03-12,10:34:59,TCB,33.2,935000,31042000.000000004,3105526,102781287.80000001,HOSE
2026-03-12,10:35:00,SCR,5.35,1,5.35,12,64.19999999999999,HOSE
2026-03-12,10:35:13,ADS,7.7,30000,231000.0,30000,231000.0,HOSE
2026-03-12,10:35:13,DCM,48.7,1,48.7,30,1461.0000000000002,HOSE
2026-03-12,10:35:14,SCR,5.35,1,5.35,13,69.55,HOSE
2026-03-12,10:35:46,DCM,48.7,1,48.7,31,1509.7,HOSE
2026-03-12,10:36:19,SCR,5.35,1,5.35,14,74.89999999999999,HOSE
2026-03-12,10:36:50,VCB,61.0,32000,1952000.0,32000,1952000.0,HOSE
2026-03-12,10:38:04,VPB,28.3,1080000,30564000.0,3270000,92541000.0,HOSE
2026-03-12,10:38:23,VPB,28.3,1112000,31469600.0,4382000,124010600.0,HOSE
2026-03-12,10:38:38,PPC,9.3,1,9.3,8,74.4,HOSE
2026-03-12,10:40:18,SCR,5.35,1,5.35,15,80.25,HOSE
2026-03-12,10:40:33,TCB,33.2,930000,30876000.000000004,4035526,133657287.80000001,HOSE
2026-03-12,10:40:50,TCB,33.2,933000,30975600.000000004,4968526,164632887.8,HOSE
2026-03-12,10:41:17,VPB,26.45,1040000,27508000.0,5422000,151518600.0,HOSE
2026-03-12,10:46:30,SCR,5.35,1,5.35,16,85.6,HOSE
2026-03-12,10:48:13,DGC,72.3,67000,4844100.0,67000,4844100.0,HOSE
2026-03-12,10:50:50,SCR,5.35,1,5.35,17,90.94999999999999,HOSE
2026-03-12,10:51:19,LSS,7.96,1,7.96,4,31.84,HOSE
2026-03-12,10:53:03,SCR,5.35,1,5.35,18,96.3,HOSE
2026-03-12,10:59:25,SCR,5.35,1,5.35,19,101.64999999999999,HOSE
2026-03-12,11:00:09,NLG,25.85,1,25.85,22,568.7,HOSE
2026-03-12,11:00:33,NLG,25.85,2,51.7,24,620.4000000000001,HOSE
2026-03-12,11:00:54,VCI,35.7,2,71.4,21,749.7,HOSE
2026-03-12,11:01:16,VCI,35.7,2,71.4,23,821.1,HOSE
2026-03-12,11:01:37,TCB,30.3,2,60.6,4968528,164632948.4,HOSE
2026-03-12,11:02:01,HPG,27.1,1,27.1,22,596.2,HOSE
2026-03-12,11:02:23,HPG,27.1,1,27.1,23,623.3000000000001,HOSE
2026-03-12,11:02:48,HPG,27.1,2,54.2,25,677.5,HOSE
2026-03-12,11:02:49,AAA,6.64,1,6.64,18,119.52,HOSE
2026-03-12,11:03:09,VCI,35.7,2,71.4,25,892.5000000000001,HOSE
2026-03-12,11:03:30,TCB,30.3,2,60.6,4968530,164633009.00000003,HOSE
2026-03-12,11:05:34,SCR,5.35,1,5.35,20,107.0,HOSE
2026-03-12,11:07:04,EIB,22.45,380000,8531000.0,380000,8531000.0,HOSE
2026-03-12,11:07:58,HPG,27.1,1,27.1,26,704.6,HOSE
2026-03-12,11:08:23,NLG,25.85,2,51.7,26,672.1,HOSE
2026-03-12,11:08:44,NLG,25.85,7,180.95000000000002,33,853.0500000000001,HOSE
2026-03-12,11:09:05,TCB,30.3,2,60.6,4968532,164633069.60000002,HOSE
2026-03-12,11:09:06,EIB,24.0,135000,3240000.0,515000,11771000.0,HOSE
2026-03-12,11:09:31,TCB,30.3,1,30.3,4968533,164633099.9,HOSE
2026-03-12,11:09:55,VCI,35.7,1,35.7,26,928.2,HOSE
2026-03-12,11:10:21,TCB,30.3,2,60.6,4968535,164633160.50000003,HOSE
2026-03-12,11:10:53,HPG,27.1,1,27.1,27,731.7,HOSE
2026-03-12,11:11:20,DCM,48.7,2,97.4,33,1607.1000000000001,HOSE
2026-03-12,11:11:45,HPG,27.1,1,27.1,28,758.8000000000001,HOSE
2026-03-12,11:12:08,HDB,24.5,170000,4165000.0,170000,4165000.0,HOSE
2026-03-12,11:14:40,EIB,20.9,40000,836000.0,555000,12607000.0,HOSE
2026-03-12,11:16:46,VCI,35.7,7,249.90000000000003,33,1178.1000000000001,HOSE
2026-03-12,11:19:02,HPG,27.1,2,54.2,30,813.0,HOSE
2026-03-12,11:19:09,SCR,5.35,1,5.35,21,112.35,HOSE
2026-03-12,11:19:27,DCM,48.7,1,48.7,34,1655.8000000000002,HOSE
2026-03-12,11:19:48,NLG,25.85,1,25.85,34,878.9000000000001,HOSE
2026-03-12,11:20:15,TCB,30.3,1,30.3,4968536,164633190.8,HOSE
2026-03-12,11:20:36,TCB,30.3,2,60.6,4968538,164633251.4,HOSE
2026-03-12,11:20:57,HPG,27.1,2,54.2,32,867.2,HOSE
2026-03-12,11:21:22,TCB,30.3,2,60.6,4968540,164633312.00000003,HOSE
2026-03-12,11:21:49,HPG,27.1,1,27.1,33,894.3000000000001,HOSE
2026-03-12,11:22:11,TCB,30.3,1,30.3,4968541,164633342.3,HOSE
2026-03-12,11:28:08,PPC,9.3,1,9.3,9,83.7,HOSE
2026-03-12,13:01:07,PPC,9.3,1,9.3,10,93.0,HOSE
