date,symbol,buy_volume,sell_volume,buy_value,sell_value,net_volume,net_value
2026-03-12,AAA,0,27,0,174000,-27,-174000
2026-03-12,ACB,2547300,1908300,59439480000,44525690000,639000,14913790000
2026-03-12,ACV,200,3000,9720000,149400000,-2800,-139680000
2026-03-12,ANV,10000,20000,233000000,472000000,-10000,-239000000
2026-03-12,BCM,0,40000,0,2239620000,-40000,-2239620000
2026-03-12,BID,168200,106000,7034035000,4451680000,62200,2582355000
2026-03-12,BMP,400,700,57470000,100220000,-300,-42750000
2026-03-12,BSR,600,0,20285000,0,600,20285000
2026-03-12,CII,34400,34400,528040000,529760000,0,-1720000
2026-03-12,CMG,0,103000,0,3077285000,-103000,-3077285000
2026-03-12,CTD,4800,2100,379480000,165990000,2700,213490000
2026-03-12,CTG,1030300,1217500,36055180000,42719510000,-187200,-6664330000
2026-03-12,CTR,0,1000,0,82900000,-1000,-82900000
2026-03-12,CTS,20000,0,574500000,0,20000,574500000
2026-03-12,DBC,72000,275000,1723500000,6498500000,-203000,-4775000000
2026-03-12,DCM,300,1930,13955000,92867000,-1630,-78912000
2026-03-12,DGC,165800,89400,12893830000,6939110000,76400,5954720000
2026-03-12,DGW,0,5000,0,224300000,-5000,-224300000
2026-03-12,DIG,134600,0,1803370000,0,134600,1803370000
2026-03-12,DPM,99500,80000,3163400000,2430000000,19500,733400000
2026-03-12,DXG,50000,30000,692500000,420000000,20000,272500000
2026-03-12,E1VFVN30,114400,886000,3810815000,29217384000,-771600,-25406569000
2026-03-12,EIB,755000,0,16267095000,0,755000,16267095000
2026-03-12,EVF,98200,0,1409170000,0,98200,1409170000
2026-03-12,FOX,20500,0,1514800000,0,20500,1514800000
2026-03-12,FPT,1245700,1176100,98915260000,93848210000,69600,5067050000
2026-03-12,FRT,300,0,44860000,0,300,44860000
2026-03-12,FUEDCMID,0,0,0,0,0,0
2026-03-12,FUEKIV30,0,100,0,1257000,-100,-1257000
2026-03-12,FUEKIVFS,0,0,0,0,0,0
2026-03-12,FUEKIVND,100,100,1401000,1401000,0,0
2026-03-12,FUEMAV30,500,15300,11420000,344205000,-14800,-332785000
2026-03-12,FUEMAVND,0,300,0,4661000,-300,-4661000
2026-03-12,FUESSV50,0,0,0,0,0,0
2026-03-12,FUESSVFL,0,0,0,0,0,0
2026-03-12,FUETCC50,6200,0,84650000,0,6200,84650000
2026-03-12,FUEVFVND,1400,71000,52538000,2603771000,-69600,-2551233000
2026-03-12,FUEVN100,0,0,0,0,0,0
2026-03-12,GAS,124600,24200,11936240000,2326010000,100400,9610230000
2026-03-12,GEL,1500000,0,51833335000,0,1500000,51833335000
2026-03-12,GEX,51200,0,1694920000,0,51200,1694920000
2026-03-12,GMD,22600,60900,1640440000,4585280000,-38300,-2944840000
2026-03-12,GVR,29401,13700,1032681000,486225000,15701,546456000
2026-03-12,HAC,0,21,0,189000,-21,-189000
2026-03-12,HDB,1353200,784900,34379770000,20098735000,568300,14281035000
2026-03-12,HHC,500,0,64800000,0,500,64800000
2026-03-12,HPA,5000,0,200000000,0,5000,200000000
